<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,D,20141201,000000,300.0000000,370.0000000,300.0000000,370.0000000,0
GDAX.BTC-USD,D,20141202,000000,377.0000000,378.0000000,377.0000000,378.0000000,15
GDAX.BTC-USD,D,20141203,000000,377.9000000,378.0000000,377.0100000,378.0000000,0
GDAX.BTC-USD,D,20141204,000000,377.1000000,377.1000000,377.1000000,377.1000000,0
GDAX.BTC-USD,D,20141206,000000,378.0000000,378.0000000,378.0000000,378.0000000,0
GDAX.BTC-USD,D,20141208,000000,375.0100000,375.0100000,375.0000000,375.0000000,0
GDAX.BTC-USD,D,20141210,000000,398.0000000,398.0000000,360.5000000,360.5000000,0
GDAX.BTC-USD,D,20141212,000000,379.0000000,379.0000000,350.0000000,350.0000000,3
GDAX.BTC-USD,D,20141218,000000,345.0000000,345.0000000,340.0000000,340.0000000,2
GDAX.BTC-USD,D,20150108,000000,360.0000000,360.0000000,264.8100000,288.9900000,0
GDAX.BTC-USD,D,20150113,000000,260.0000000,260.0000000,260.0000000,260.0000000,1
GDAX.BTC-USD,D,20150114,000000,200.0000000,221.0000000,109.8700000,120.0000000,0
GDAX.BTC-USD,D,20150115,000000,191.9900000,224.0000000,150.0000000,204.2200000,1
GDAX.BTC-USD,D,20150116,000000,210.9800000,225.5000000,189.0000000,199.4600000,0
GDAX.BTC-USD,D,20150117,000000,210.0000000,210.0000000,184.0000000,184.0000000,0
GDAX.BTC-USD,D,20150119,000000,210.0000000,225.5100000,210.0000000,225.5100000,0
GDAX.BTC-USD,D,20150120,000000,215.0000000,218.0000000,208.0000000,218.0000000,0
GDAX.BTC-USD,D,20150121,000000,219.0000000,225.5100000,219.0000000,225.5100000,0
GDAX.BTC-USD,D,20150122,000000,245.5000000,257.7300000,216.5900000,226.3200000,3
GDAX.BTC-USD,D,20150123,000000,230.0000000,235.0000000,215.0000000,235.0000000,0
GDAX.BTC-USD,D,20150124,000000,215.0000000,250.5800000,215.0000000,240.0000000,1
GDAX.BTC-USD,D,20150125,000000,248.0200000,256.2600000,245.3200000,254.5300000,479
GDAX.BTC-USD,D,20150126,000000,262.7800000,322.7200000,241.4300000,274.4800000,5176
GDAX.BTC-USD,D,20150127,000000,274.7300000,278.4700000,244.0300000,263.6500000,1604
GDAX.BTC-USD,D,20150128,000000,263.9600000,265.9900000,228.5000000,236.0900000,5299
GDAX.BTC-USD,D,20150129,000000,235.8900000,242.0000000,221.1400000,235.0300000,6632
GDAX.BTC-USD,D,20150130,000000,235.0000000,244.5900000,227.8900000,229.0700000,5759
GDAX.BTC-USD,D,20150131,000000,229.0000000,234.6700000,217.1100000,218.4500000,5584
GDAX.BTC-USD,D,20150201,000000,218.6700000,233.7900000,210.0000000,228.9900000,7220
GDAX.BTC-USD,D,20150202,000000,228.3900000,240.1000000,220.8900000,237.8300000,7421
GDAX.BTC-USD,D,20150203,000000,237.0100000,243.9000000,225.3200000,228.5800000,8303
GDAX.BTC-USD,D,20150204,000000,228.7700000,230.9900000,221.5000000,227.1100000,9129
GDAX.BTC-USD,D,20150205,000000,227.1100000,228.9000000,215.0000000,216.7600000,7375
GDAX.BTC-USD,D,20150206,000000,216.8400000,226.6400000,216.0300000,223.2000000,5677
